,성별,연령,키,몸무게,학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
50077,1.0,16.0,168.7,71.0,3.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,240.0,300.0
50078,1.0,17.0,177.0,58.1,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,180.0,360.0
50079,2.0,17.0,168.0,54.0,3.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,300.0,300.0
50080,1.0,18.0,170.0,70.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,1.0,120.0,240.0
50081,1.0,18.0,174.0,66.0,3.0,3.0,1.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0
50082,2.0,17.0,157.0,43.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,180.0,180.0
50083,2.0,18.0,160.0,50.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,60.0,0.0
50084,2.0,18.0,163.0,68.0,3.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,300.0,600.0
50085,2.0,17.0,154.4,71.1,1.0,2.0,3.0,8.0,4.0,4.0,2.0,1.0,120.0,240.0
50086,2.0,18.0,167.0,64.0,3.0,2.0,2.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0
50087,2.0,18.0,158.0,48.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,30.0,30.0
50088,1.0,18.0,165.0,80.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,60.0,80.0
50089,2.0,15.0,166.8,54.2,5.0,3.0,2.0,7.0,4.0,5.0,2.0,1.0,240.0,0.0
50090,2.0,16.0,154.0,56.0,3.0,4.0,5.0,3.0,1.0,5.0,2.0,1.0,120.0,0.0
50091,2.0,15.0,162.0,53.0,4.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,0.0,600.0
50092,1.0,16.0,173.1,88.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,60.0,0.0
